,Date,Iron_Price
0,2000Q1,12.45
1,2000Q1,12.45
2,2000Q1,12.45
3,2000Q2,12.45
4,2000Q2,12.45
5,2000Q2,12.45
6,2000Q3,12.45
7,2000Q3,12.45
8,2000Q3,12.45
9,2000Q4,12.45
10,2000Q4,12.45
11,2000Q4,12.45
12,2001Q1,12.99
13,2001Q1,12.99
14,2001Q1,12.99
15,2001Q2,12.99
16,2001Q2,12.99
17,2001Q2,12.99
18,2001Q3,12.99
19,2001Q3,12.99
20,2001Q3,12.99
21,2001Q4,12.99
22,2001Q4,12.99
23,2001Q4,12.99
24,2002Q1,12.68
25,2002Q1,12.68
26,2002Q1,12.68
27,2002Q2,12.68
28,2002Q2,12.68
29,2002Q2,12.68
30,2002Q3,12.68
31,2002Q3,12.68
32,2002Q3,12.68
33,2002Q4,12.68
34,2002Q4,12.68
35,2002Q4,12.68
36,2003Q1,13.82
37,2003Q1,13.82
38,2003Q1,13.82
39,2003Q2,13.82
40,2003Q2,13.82
41,2003Q2,13.82
42,2003Q3,13.82
43,2003Q3,13.82
44,2003Q3,13.82
45,2003Q4,13.82
46,2003Q4,13.82
47,2003Q4,13.82
48,2004Q1,16.39
49,2004Q1,16.39
50,2004Q1,16.39
51,2004Q2,16.39
52,2004Q2,16.39
53,2004Q2,16.39
54,2004Q3,16.39
55,2004Q3,16.39
56,2004Q3,16.39
57,2004Q4,16.39
58,2004Q4,16.39
59,2004Q4,16.39
60,2005Q1,28.11
61,2005Q1,28.11
62,2005Q1,28.11
63,2005Q2,28.11
64,2005Q2,28.11
65,2005Q2,28.11
66,2005Q3,28.11
67,2005Q3,28.11
68,2005Q3,28.11
69,2005Q4,28.11
70,2005Q4,28.11
71,2005Q4,28.11
72,2006Q1,33.45
73,2006Q1,33.45
74,2006Q1,33.45
75,2006Q2,33.45
76,2006Q2,33.45
77,2006Q2,33.45
78,2006Q3,33.45
79,2006Q3,33.45
80,2006Q3,33.45
81,2006Q4,33.45
82,2006Q4,33.45
83,2006Q4,33.45
84,2007Q1,36.63
85,2007Q1,36.63
86,2007Q1,36.63
87,2007Q2,36.63
88,2007Q2,36.63
89,2007Q2,36.63
90,2007Q3,36.63
91,2007Q3,36.63
92,2007Q3,36.63
93,2007Q4,36.63
94,2007Q4,36.63
95,2007Q4,36.63
96,2008Q1,60.8
97,2008Q1,60.8
98,2008Q1,60.8
99,2008Q2,60.8
100,2008Q2,60.8
101,2008Q2,60.8
102,2008Q3,60.8
103,2008Q3,60.8
104,2008Q3,60.8
105,2008Q4,60.8
106,2008Q4,60.8
107,2008Q4,71.7
108,2009Q1,73.4
109,2009Q1,72.7
110,2009Q1,59.6
111,2009Q2,60.6
112,2009Q2,65.0
113,2009Q2,78.2
114,2009Q3,95.3
115,2009Q3,85.8
116,2009Q3,85.9
117,2009Q4,88.4
118,2009Q4,101.6
119,2009Q4,118.2
120,2010Q1,120.0
121,2010Q1,133.1
122,2010Q1,153.6
123,2010Q2,172.9
124,2010Q2,145.2
125,2010Q2,138.9
126,2010Q3,136.3
127,2010Q3,141.5
128,2010Q3,141.1
129,2010Q4,149.1
130,2010Q4,167.8
131,2010Q4,170.1
132,2011Q1,185.6
133,2011Q1,182.8
134,2011Q1,172.4
135,2011Q2,181.5
136,2011Q2,169.8
137,2011Q2,166.8
138,2011Q3,175.5
139,2011Q3,179.9
140,2011Q3,171.3
141,2011Q4,118.4
142,2011Q4,130.9
143,2011Q4,138.5
144,2012Q1,142.4
145,2012Q1,143.0
146,2012Q1,147.6
147,2012Q2,145.4
148,2012Q2,134.8
149,2012Q2,134.0
150,2012Q3,117.0
151,2012Q3,89.4
152,2012Q3,104.2
153,2012Q4,119.3
154,2012Q4,115.6
155,2012Q4,144.9
156,2013Q1,152.5
157,2013Q1,151.7
158,2013Q1,137.3
159,2013Q2,134.1
160,2013Q2,110.4
161,2013Q2,116.5
162,2013Q3,129.9
163,2013Q3,137.7
164,2013Q3,131.4
165,2013Q4,131.9
166,2013Q4,136.4
167,2013Q4,134.2
168,2014Q1,122.6
169,2014Q1,118.1
170,2014Q1,116.8
171,2014Q2,105.4
172,2014Q2,91.8
173,2014Q2,93.8
174,2014Q3,95.6
175,2014Q3,87.9
176,2014Q3,77.5
177,2014Q4,78.5
178,2014Q4,69.8
179,2014Q4,71.2
180,2015Q1,61.7
181,2015Q1,63.0
182,2015Q1,51.0
183,2015Q2,56.2
184,2015Q2,61.4
185,2015Q2,59.3
186,2015Q3,52.9
187,2015Q3,55.7
188,2015Q3,54.4
189,2015Q4,49.5
190,2015Q4,42.8
191,2015Q4,42.9
192,2016Q1,41.5
193,2016Q1,48.9
194,2016Q1,53.2
195,2016Q2,65.2
196,2016Q2,49.6
197,2016Q2,54.2
198,2016Q3,58.8
199,2016Q3,59.0
200,2016Q3,55.2
201,2016Q4,63.8
202,2016Q4,73.5
203,2016Q4,81.8
204,2017Q1,84.0
205,2017Q1,91.2
206,2017Q1,79.8
207,2017Q2,67.8
208,2017Q2,57.8
209,2017Q2,63.9
210,2017Q3,73.8
211,2017Q3,77.2
212,2017Q3,61.7
213,2017Q4,58.7
214,2017Q4,68.16
215,2017Q4,72.4
216,2018Q1,72.05
217,2018Q1,78.02
218,2018Q1,64.89
219,2018Q2,65.65
220,2018Q2,64.88
221,2018Q2,64.73
222,2018Q3,67.67
223,2018Q3,66.03
224,2018Q3,68.11
225,2018Q4,73.96
226,2018Q4,64.77
227,2018Q4,71.3
228,2019Q1,84.45
229,2019Q1,83.43
230,2019Q1,86.37
231,2019Q2,93.79
232,2019Q2,97.76
233,2019Q2,112.9
234,2019Q3,115.55
235,2019Q3,84.64
236,2019Q3,92.24
237,2019Q4,82.75
238,2019Q4,86.01
239,2019Q4,90.92
240,2020Q1,81.35
241,2020Q1,82.93
242,2020Q1,82.69
243,2020Q2,82.37
244,2020Q2,99.5
245,2020Q2,98.45
246,2020Q3,108.9
247,2020Q3,122.53
248,2020Q3,123.98
249,2020Q4,120.19
250,2020Q4,129.31
251,2020Q4,158.15
252,2021Q1,168.13
253,2021Q1,165.61
254,2021Q1,166.9
255,2021Q2,179.63
256,2021Q2,205.73
257,2021Q2,214.55
258,2021Q3,211.99
259,2021Q3,159.25
260,2021Q3,119.65
261,2021Q4,121.23
262,2021Q4,94.97
263,2021Q4,112.5
